id;relid;year;active_year;code_status;type_of_violence;conflict_dset_id;conflict_new_id;conflict_name;dyad_dset_id;dyad_new_id;dyad_name;side_a_dset_id;side_a_new_id;side_a;side_b_dset_id;side_b_new_id;side_b;number_of_sources;source_article;source_office;source_date;source_headline;source_original;where_prec;where_coordinates;where_description;adm_1;adm_2;latitude;longitude;geom_wkt;priogrid_gid;country;country_id;region;event_clarity;date_prec;date_start;date_end;deaths_a;deaths_b;deaths_civilians;deaths_unknown;best_est;high_est;low_est
286882;NIR-2019-1-14668-11;2019;True;Clear;1;13639;13639;Niger: Islamic State;14668,0;14668;Government of Niger - IS;75;75;Government of Niger;234;234;IS;11;"""Twitter,2019-05-16,MENASTREAM""";;;;;;;;;;;;;;;;;;;;;;;;;;;
313744;AFG-2019-3-973-133;2019;True;Clear;3;234;506;IS - Civilians;234,0;973;IS - Civilians;234;234;IS;9999;1;Civilians;1;"""Crisis Watch,2019-10-31,Niger  OCTOBER 2019""";Crisis Watch;31/10/2019;Niger  OCTOBER 2019;Crisis Watch;1;Biri Boula village;Biri Boula, in Diffa region;Diffa region;Diffa department;13.159160;12.354970;POINT (12.35497 13.15916);148705;Niger;436;Africa;1;1;10/01/2019 00:00;10/01/2019 00:00;0;0;1;0;1;1;1
313761;AFG-2019-3-973-134;2019;True;Clear;3;234;506;IS - Civilians;234,0;973;IS - Civilians;234;234;IS;9999;1;Civilians;1;"""Crisis Watch,2019-10-31,Niger  OCTOBER 2019""";Crisis Watch;31/10/2019;Niger  OCTOBER 2019;Crisis Watch;1;Kaoure village;in Kaoure, Diffa region;Diffa region;Diffa department;13.591730;13.147840;POINT (13.14784 13.59173);149427;Niger;436;Africa;1;1;10/06/2019 00:00;10/06/2019 00:00;0;0;1;0;1;1;1
313762;AFG-2019-3-973-135;2019;True;Clear;3;234;506;IS - Civilians;234,0;973;IS - Civilians;234;234;IS;9999;1;Civilians;1;"""Crisis Watch,2019-10-31,Niger  OCTOBER 2019""";Crisis Watch;31/10/2019;Niger  OCTOBER 2019;Crisis Watch;1;Kindjandi village;Kindjandi, Diffra Region;Diffa region;Diffa department;13.737941;12.931068;POINT (12.931068 13.737941);149426;Niger;436;Africa;1;1;10/06/2019 00:00;10/06/2019 00:00;0;0;2;0;2;2;2
20249;NIR-1991-1-761-5;1991;True;Clear;1;430;430;Niger: Government;895,0;895;Government of Niger - FLAA;75;75;Government of Niger;524;524;FLAA;-1;Reuters 27/2-92;;;;;6;Niger;Niger;;;16.000000;8.000000;POINT (8 16);153017;Niger;436;Africa;1;1;10/25/1991 00:00:00;10/25/1991 00:00:00;0;0;0;0;0;55;0
252399;CHA-2014-2-14721-0;2014;False;Clear;2;14721;13678;Toubou  - Zaghawa;14721,0;14721;Toubou  - Zaghawa;3998;3998;Toubou;705;705;Zaghawa;1;"""Tubu Trouble: State and Statelessness in the Chad-Sudan-Libya Triangle,2017-06-30,V. Gold without borders: A gold rush on Teda lands (pp. 75-92)""";Tubu Trouble: State and Statelessness in the Chad-Sudan-Libya Triangle;30/06/2017;V. Gold without borders: A gold rush on Teda lands (pp. 75-92);Small Arms Survey;1;Djado village;Brao market;Agadez region;Bilma department;21.015980;12.308440;POINT (12.30844 21.01598);160225;Niger;436;Africa;1;1;08/04/2014 00:00;08/04/2014 00:00;0;3;0;0;3;3;3
252401;CHA-2014-2-14721-1;2014;False;Clear;2;14721;13678;Toubou  - Zaghawa;14721,0;14721;Toubou  - Zaghawa;3998;3998;Toubou;705;705;Zaghawa;1;"""Tubu Trouble: State and Statelessness in the Chad-Sudan-Libya Triangle,2017-06-30,V. Gold without borders: A gold rush on Teda lands (pp. 75-92)""";Tubu Trouble: State and Statelessness in the Chad-Sudan-Libya Triangle;30/06/2017;V. Gold without borders: A gold rush on Teda lands (pp. 75-92);Small Arms Survey;3;Bilma department;Chadian-Nigerien border en route to Chad;Agadez region;Bilma department;20.500000;13.250000;POINT (13.25 20.5);159507;Niger;436;Africa;1;1;08/04/2014 00:00;08/04/2014 00:00;2;0;0;0;2;2;2
313770;AFG-2019-3-973-136;2019;True;Clear;3;234;506;IS - Civilians;234,0;973;IS - Civilians;234;234;IS;9999;1;Civilians;1;"""Crisis Watch,2019-10-31,Niger  OCTOBER 2019""";Crisis Watch;31/10/2019;Niger  OCTOBER 2019;Crisis Watch;2;Koulgouliram village;Koulgouliram (near), Diffra;Diffa region;Nguigmi department;14.070970;13.315000;POINT (13.315 14.07097);150147;Niger;436;Africa;1;1;10/08/2019 00:00;10/08/2019 00:00;0;0;1;0;1;1;1
313772;NIR-2019-1-14668-27;2019;True;Clear;1;13639;13639;Niger: Islamic State;14668,0;14668;Government of Niger - IS;75;75;Government of Niger;234;234;IS;1;"""Crisis Watch,2019-10-31,Niger  OCTOBER 2019""";Crisis Watch;31/10/2019;Niger  OCTOBER 2019;Crisis Watch;1;Ekrafane village;Ekrafane In Tillabéri region’s Filingué department;Tillabéri region;Filingué department;15.387780;3.572220;POINT (3.57222 15.38778);151568;Niger;436;Africa;1;1;10/08/2019 00:00;10/08/2019 00:00;0;4;0;0;4;4;4
252883;CHA-2015-2-14787-0;2015;True;Clear;2;14787;13730;Toubou  - Tuareg;14787,0;14787;Toubou  - Tuareg;3998;3998;Toubou;937;937;Tuareg;1;"""Beyond the 'Wild West'. The Gold Rush in Northern Niger,2017-06-30,Regional insecurity (pp. 7)""";Beyond the 'Wild West'. The Gold Rush in Northern Niger;30/06/2017;Regional insecurity (pp. 7);Small Arms Survey;5;Tchibarakaten goldfield;Tchibarakaten;Agadez region;Arlit department;21.054862;8.624676;POINT (8.624676 21.054862);160218;Niger;436;Africa;1;5;01/01/2015 00:00;12/31/2015 00:00:00;0;0;0;6;6;6;6
436498;NIR-2022-1-14668-10;2022;True;Clear;1;13639;13639;Niger: Islamic State;14668,0;14668;Government of Niger - IS;75;75;Government of Niger;234;234;IS;1;"""AllAfrica,2022-04-21,Troops Kill 25 Terrorists, Rescue 6 Captives in Lake Chad""";AllAfrica;21/04/2022;Troops Kill 25 Terrorists, Rescue 6 Captives in Lake Chad;Chief of Military Public Information, MNJTF N'Djemena;4;Diffa region;in the general area of Ngagam - Kabalewa and N'guigmi;Diffa region;;13.315360;12.611345;POINT (12.611345 13.31536);148706;Niger;436;Africa;1;2;04/19/2022 00:00:00;04/21/2022 00:00:00;1;5;0;0;6;6;6
313783;NIR-2019-1-14668-28;2019;True;Clear;1;13639;13639;Niger: Islamic State;14668,0;14668;Government of Niger - IS;75;75;Government of Niger;234;234;IS;1;"""Crisis Watch,2019-10-31,Niger  OCTOBER 2019""";Crisis Watch;31/10/2019;Niger  OCTOBER 2019;Crisis Watch;1;Bankata village;Bankata, Say department, Tillabéri region;Tillabéri region;Say department;12.839550;1.675170;POINT (1.67517 12.83955);147964;Niger;436;Africa;1;1;10/07/2019 00:00;10/07/2019 00:00;0;0;0;0;0;1;0
497332;AFG-2023-3-973-368;2023;True;Clear;3;234;506;IS - Civilians;234,0;973;IS - Civilians;234;234;IS;9999;1;Civilians;1;"""Crisis Watch ,2023-11-06,Niger: October 2023 """;Crisis Watch;06/11/2023;Niger: October 2023;Crisis Watch;1;Karkatia village;Karkatia village, Bankilare department;Tillabéri region;Tera department;14.505489;0.877335;POINT (0.8773353 14.5054896);150842;Niger;436;Africa;1;1;10/10/2023 00:00;10/10/2023 00:00;0;0;11;0;11;11;11
262453;AFG-2018-3-973-219;2018;True;Clear;3;234;506;IS - Civilians;234,0;973;IS - Civilians;234;234;IS;9999;1;Civilians;1;"""Crisis Watch,2018-08-31,Niger August 2018""";Crisis Watch;31/08/2018;Niger August 2018;Crisis Watch;1;Toumour village;Toumour village, Diffa region in south east;Diffa region;Diffa department;13.667930;13.127670;POINT (13.12767 13.66793);149427;Niger;436;Africa;1;2;08/08/2018 00:00;08/09/2018 00:00;0;0;1;0;1;1;1
262455;NIR-2018-1-14668-14;2018;True;Clear;1;13639;13639;Niger: Islamic State;14668,0;14668;Government of Niger - IS;75;75;Government of Niger;234;234;IS;1;"""Crisis Watch,2018-08-31,Niger August 2018""";Crisis Watch;31/08/2018;Niger August 2018;Crisis Watch;5;I-n-Ates river system;near Inates in west along border with Mali;Tillabéri region;;15.054511;1.240753;POINT (1.240753 15.054511);151563;Niger;436;Africa;1;1;08/01/2018 00:00;08/01/2018 00:00;0;0;0;0;0;1;0
425653;NIR-2021-1-15174-7;2021;True;Clear;1;430;430;Niger: Government;15174,0;15174;Government of Niger - JNIM;75;75;Government of Niger;6716;6716;JNIM;1;"""Agence France Presse,2021-12-10,Burkina Faso and Niger say joint operation killed 100 'terrorists'""";Agence France Presse;10/12/2021;Burkina Faso and Niger say joint operation killed 100 'terrorists';armies of Burkina Faso and neighbouring Niger;2;Kokoloukou village;one in Kokoloukou in western Niger;Tillabéri region;Say department;13.266800;1.028410;POINT (1.02841 13.2668);148683;Niger;436;Africa;2;4;11/25/2021 00:00:00;12/09/2021 00:00;0;50;0;0;50;50;0
444588;NIR-2022-1-14668-28;2022;True;Clear;1;13639;13639;Niger: Islamic State;14668,0;14668;Government of Niger - IS;75;75;Government of Niger;234;234;IS;1;"""@TomaszRolbiecki,2022-07-11,From Niger, ISWAP posted a photo report from the attack in Garin Dogo. Only the attackers""";@TomaszRolbiecki;11/07/2022;From Niger, ISWAP posted a photo report from the attack in Garin Dogo. Only the attackers;IS;3;Diffa department;;Diffa region;Diffa department;13.666670;12.500000;POINT (12.5 13.66667);149426;Niger;436;Africa;1;4;07/03/2022 00:00;07/11/2022 00:00;1;0;0;0;1;1;0
444591;NIR-2022-1-14668-29;2022;True;Clear;1;13639;13639;Niger: Islamic State;14668,0;14668;Government of Niger - IS;75;75;Government of Niger;234;234;IS;1;"""@TomaszRolbiecki,2022-07-11,I missed one additional claim - in the Bosso-Toumour area (Niger Republic), ISWAP claimed""";@TomaszRolbiecki;11/07/2022;I missed one additional claim - in the Bosso-Toumour area (Niger Republic), ISWAP claimed;local sources;3;Diffa department;in the Bosso-Toumour area (Niger Republic);Diffa region;Diffa department;13.666670;12.500000;POINT (12.5 13.66667);149426;Niger;436;Africa;1;1;07/09/2022 00:00;07/09/2022 00:00;1;0;0;0;1;2;1
